Period,Inflation (Can),Inflation (US),GDP (B$),Empl.Per. (M),CPI (Can),CPI (US),CC (Can),PC Util (Can),PC Util (US),Bus Conf (Can),Bus Conf (US),TSX,Retail YoY%,M3 T$,Gov Sp M$,EI (000s),Disp.Inc. M$,Consum.Cr. M$,Exports M$,Tourist Arr. (Persons)
2013-01-21,0.9516129032258065,1.8580645161290323,1732.9530967741937,17.537548387096773,122.20322580645161,232.4906129032258,54.93225806451613,80.59354838709677,76.89354838709677,-1.0841935483870968,3.2283870967741937,12681.032258064517,1.9806451612903224,1.6110411612903226,127063.03225806452,535437.0967741936,344556.77419354836,608400.4838709678,39172.874193548385,1220190.677419355
2013-01-22,0.9741935483870967,1.870967741935484,1733.1214516129032,17.539025806451612,122.2483870967742,232.5311935483871,54.983870967741936,80.60322580645162,76.90322580645162,-1.0929032258064515,3.2258064516129035,12686.483870967742,2.009677419354839,1.6115144193548387,127058.48387096774,535256.4516129033,344634.6129032258,608537.2580645161,39201.81290322581,1220431.1612903227
2013-01-23,0.9967741935483871,1.8838709677419354,1733.289806451613,17.54050322580645,122.29354838709678,232.5717741935484,55.03548387096774,80.61290322580645,76.91290322580645,-1.1016129032258064,3.223225806451613,12691.935483870968,2.0387096774193547,1.611987677419355,127053.93548387097,535075.8064516129,344712.4516129032,608674.0322580645,39230.75161290322,1220671.6451612904
2013-01-24,1.0193548387096774,1.896774193548387,1733.4581612903226,17.54198064516129,122.33870967741936,232.61235483870968,55.08709677419355,80.62258064516129,76.92258064516129,-1.1103225806451613,3.2206451612903226,12697.387096774193,2.0677419354838706,1.612460935483871,127049.3870967742,534895.1612903225,344790.29032258067,608810.8064516129,39259.690322580645,1220912.1290322582
2013-01-25,1.0419354838709678,1.9096774193548387,1733.6265161290323,17.543458064516127,122.38387096774194,232.65293548387098,55.13870967741936,80.63225806451614,76.93225806451613,-1.1190322580645162,3.2180645161290324,12702.838709677419,2.096774193548387,1.6129341935483872,127044.83870967742,534714.5161290322,344868.12903225806,608947.5806451613,39288.62903225806,1221152.6129032257
2013-01-26,1.064516129032258,1.9225806451612903,1733.794870967742,17.544935483870965,122.42903225806452,232.69351612903228,55.19032258064516,80.64193548387097,76.94193548387096,-1.127741935483871,3.2154838709677422,12708.290322580646,2.125806451612903,1.6134074516129033,127040.29032258065,534533.8709677419,344945.96774193546,609084.3548387097,39317.56774193548,1221393.0967741935
2013-01-27,1.0870967741935482,1.935483870967742,1733.9632258064516,17.546412903225807,122.47419354838709,232.73409677419355,55.24193548387097,80.65161290322581,76.95161290322581,-1.1364516129032258,3.2129032258064516,12713.741935483871,2.1548387096774193,1.6138807096774193,127035.74193548386,534353.2258064516,345023.8064516129,609221.1290322581,39346.5064516129,1221633.5806451612
2013-01-28,1.1096774193548387,1.9483870967741934,1734.1315806451614,17.547890322580646,122.51935483870967,232.77467741935484,55.29354838709678,80.66129032258065,76.96129032258065,-1.1451612903225805,3.2103225806451614,12719.193548387097,2.1838709677419352,1.6143539677419354,127031.19354838709,534172.5806451613,345101.6451612903,609357.9032258064,39375.44516129032,1221874.064516129
2013-01-29,1.132258064516129,1.9612903225806453,1734.299935483871,17.549367741935484,122.56451612903226,232.81525806451614,55.34516129032258,80.67096774193548,76.97096774193548,-1.1538709677419354,3.207741935483871,12724.645161290322,2.2129032258064516,1.6148272258064515,127026.64516129032,533991.9354838709,345179.48387096776,609494.6774193548,39404.38387096774,1222114.5483870967
2013-01-30,1.1548387096774193,1.9741935483870967,1734.4682903225807,17.550845161290322,122.60967741935484,232.85583870967744,55.39677419354839,80.68064516129033,76.98064516129033,-1.1625806451612903,3.205161290322581,12730.09677419355,2.2419354838709675,1.6153004838709677,127022.09677419355,533811.2903225806,345257.32258064515,609631.4516129033,39433.32258064516,1222355.0322580645
